"state","sex","age","pop","year"
"Alabama","Male","Under 5 years",154287,2010
"Alaska","Male","Under 5 years",26714,2010
"Arizona","Male","Under 5 years",236518,2010
"Arkansas","Male","Under 5 years",100110,2010
"California","Male","Under 5 years",1300849,2010
"Colorado","Male","Under 5 years",173902,2010
"Connecticut","Male","Under 5 years",105318,2010
"Delaware","Male","Under 5 years",28476,2010
"District of Columbia","Male","Under 5 years",16463,2010
"Florida","Male","Under 5 years",552027,2010
"Georgia","Male","Under 5 years",351811,2010
"Hawaii","Male","Under 5 years",44737,2010
"Idaho","Male","Under 5 years",60968,2010
"Illinois","Male","Under 5 years",431211,2010
"Indiana","Male","Under 5 years",221612,2010
"Iowa","Male","Under 5 years",101153,2010
"Kansas","Male","Under 5 years",100765,2010
"Kentucky","Male","Under 5 years",142230,2010
"Louisiana","Male","Under 5 years",155698,2010
"Maine","Male","Under 5 years",36243,2010
"Maryland","Male","Under 5 years",186225,2010
"Massachusetts","Male","Under 5 years",187996,2010
"Michigan","Male","Under 5 years",314019,2010
"Minnesota","Male","Under 5 years",179512,2010
"Mississippi","Male","Under 5 years",106515,2010
"Missouri","Male","Under 5 years",197907,2010
"Montana","Male","Under 5 years",30531,2010
"Nebraska","Male","Under 5 years",65834,2010
"Nevada","Male","Under 5 years",96732,2010
"New Hampshire","Male","Under 5 years",36772,2010
"New Jersey","Male","Under 5 years",279434,2010
"New Mexico","Male","Under 5 years",72947,2010
"New York","Male","Under 5 years",592250,2010
"North Carolina","Male","Under 5 years",318634,2010
"North Dakota","Male","Under 5 years",21319,2010
"Ohio","Male","Under 5 years",369367,2010
"Oklahoma","Male","Under 5 years",130917,2010
"Oregon","Male","Under 5 years",119993,2010
"Pennsylvania","Male","Under 5 years",371755,2010
"Rhode Island","Male","Under 5 years",30148,2010
"South Carolina","Male","Under 5 years",150860,2010
"South Dakota","Male","Under 5 years",29099,2010
"Tennessee","Male","Under 5 years",205473,2010
"Texas","Male","Under 5 years",972112,2010
"Utah","Male","Under 5 years",130971,2010
"Vermont","Male","Under 5 years",16698,2010
"Virginia","Male","Under 5 years",258706,2010
"Washington","Male","Under 5 years",218403,2010
"West Virginia","Male","Under 5 years",53226,2010
"Wisconsin","Male","Under 5 years",181588,2010
"Wyoming","Male","Under 5 years",19115,2010
"Puerto Rico","Male","Under 5 years",120911,2010
"Alabama","Male","5 to 9 years",157712,2010
"Alaska","Male","5 to 9 years",25393,2010
"Arizona","Male","5 to 9 years",222414,2010
"Arkansas","Male","5 to 9 years",99973,2010
"California","Male","5 to 9 years",1265861,2010
"Colorado","Male","5 to 9 years",172622,2010
"Connecticut","Male","5 to 9 years",115611,2010
"Delaware","Male","5 to 9 years",28436,2010
"District of Columbia","Male","5 to 9 years",13091,2010
"Florida","Male","5 to 9 years",541272,2010
"Georgia","Male","5 to 9 years",348451,2010
"Hawaii","Male","5 to 9 years",40899,2010
"Idaho","Male","5 to 9 years",58047,2010
"Illinois","Male","5 to 9 years",438963,2010
"Indiana","Male","5 to 9 years",226225,2010
"Iowa","Male","5 to 9 years",100512,2010
"Kansas","Male","5 to 9 years",102192,2010
"Kentucky","Male","5 to 9 years",142679,2010
"Louisiana","Male","5 to 9 years",153262,2010
"Maine","Male","5 to 9 years",38069,2010
"Maryland","Male","5 to 9 years",185701,2010
"Massachusetts","Male","5 to 9 years",197362,2010
"Michigan","Male","5 to 9 years",334277,2010
"Minnesota","Male","5 to 9 years",176510,2010
